time,iti_s,type,iti_TR,iti_TR_cum,cond_frames,cond_ms,phase_0_ms,phase_0_frames,phase_1_ms,phase_1_frames,texture_id
0.0,3.6,dur,4,4,21,175,2000,240,1.6,192,42
3.6,3.6,dur,4,8,90,750,2000,240,1.6,192,27
7.2,3.6,dur,4,12,33,275,2000,240,1.6,192,65
10.8,3.6,dur,4,16,240,2000,2000,240,1.6,192,127
14.4,3.6,dur,4,20,6,50,2000,240,1.6,192,134
18.0,3.6,dur,4,24,3,25,2000,240,1.6,192,70
21.6,3.6,dur,4,28,0,0,2000,240,1.6,192,26
25.2,3.6,dur,4,32,6,50,2000,240,1.6,192,68
28.8,3.6,dur,4,36,9,75,2000,240,1.6,192,8
32.4,3.6,dur,4,40,57,475,2000,240,1.6,192,52
36.0,3.6,dur,4,44,0,0,2000,240,1.6,192,51
39.6,3.6,dur,4,48,33,275,2000,240,1.6,192,159
43.2,3.6,dur,4,52,33,275,2000,240,1.6,192,38
46.8,3.6,dur,4,56,57,475,2000,240,1.6,192,17
50.4,3.6,dur,4,60,12,100,2000,240,1.6,192,101
54.0,3.6,dur,4,64,33,275,2000,240,1.6,192,148
57.6,4.5,dur,5,69,147,1225,2000,240,2.5,300,9
62.1,3.6,dur,4,73,9,75,2000,240,1.6,192,36
65.7,3.6,dur,4,77,90,750,2000,240,1.6,192,63
69.3,3.6,dur,4,81,12,100,2000,240,1.6,192,125
72.9,4.5,dur,5,86,147,1225,2000,240,2.5,300,49
77.4,3.6,dur,4,90,6,50,2000,240,1.6,192,88
81.0,3.6,dur,4,94,3,25,2000,240,1.6,192,48
84.6,3.6,dur,4,98,147,1225,2000,240,1.6,192,145
88.2,3.6,dur,4,102,0,0,2000,240,1.6,192,35
91.8,4.5,dur,5,107,0,0,2000,240,2.5,300,47
96.3,3.6,dur,4,111,3,25,2000,240,1.6,192,62
99.9,3.6,dur,4,115,57,475,2000,240,1.6,192,6
103.5,3.6,dur,4,119,9,75,2000,240,1.6,192,11
107.1,4.5,dur,5,124,9,75,2000,240,2.5,300,103
111.6,3.6,dur,4,128,9,75,2000,240,1.6,192,40
115.2,3.6,dur,4,132,6,50,2000,240,1.6,192,110
118.8,3.6,dur,4,136,57,475,2000,240,1.6,192,3
122.4,3.6,dur,4,140,3,25,2000,240,1.6,192,105
126.0,7.2,dur,8,148,3,25,2000,240,5.2,624,77
133.2,3.6,dur,4,152,0,0,2000,240,1.6,192,83
136.8,4.5,dur,5,157,57,475,2000,240,2.5,300,152
141.3,3.6,dur,4,161,240,2000,2000,240,1.6,192,117
144.9,3.6,dur,4,165,33,275,2000,240,1.6,192,92
148.5,4.5,dur,5,170,3,25,2000,240,2.5,300,107
153.0,4.5,dur,5,175,0,0,2000,240,2.5,300,45
157.5,3.6,dur,4,179,6,50,2000,240,1.6,192,5
161.1,5.4,dur,6,185,147,1225,2000,240,3.4000000000000004,408,156
166.5,6.3,dur,7,192,12,100,2000,240,4.3,516,151
172.8,3.6,dur,4,196,12,100,2000,240,1.6,192,37
176.4,3.6,dur,4,200,0,0,2000,240,1.6,192,137
180.0,3.6,dur,4,204,0,0,2000,240,1.6,192,23
183.6,3.6,dur,4,208,90,750,2000,240,1.6,192,73
187.2,5.4,dur,6,214,9,75,2000,240,3.4000000000000004,408,33
192.6,3.6,dur,4,218,147,1225,2000,240,1.6,192,72
196.2,3.6,dur,4,222,9,75,2000,240,1.6,192,135
199.8,6.3,dur,7,229,240,2000,2000,240,4.3,516,108
206.1,3.6,dur,4,233,90,750,2000,240,1.6,192,78
209.7,3.6,dur,4,237,6,50,2000,240,1.6,192,104
213.3,4.5,dur,5,242,21,175,2000,240,2.5,300,129
217.8,3.6,dur,4,246,240,2000,2000,240,1.6,192,58
221.4,3.6,dur,4,250,240,2000,2000,240,1.6,192,20
225.0,3.6,dur,4,254,21,175,2000,240,1.6,192,28
228.6,3.6,dur,4,258,21,175,2000,240,1.6,192,140
232.2,3.6,dur,4,262,0,0,2000,240,1.6,192,146
235.8,4.5,dur,5,267,90,750,2000,240,2.5,300,144
240.3,3.6,dur,4,271,90,750,2000,240,1.6,192,87
243.9,3.6,dur,4,275,0,0,2000,240,1.6,192,102
247.5,3.6,dur,4,279,21,175,2000,240,1.6,192,81
251.1,3.6,dur,4,283,12,100,2000,240,1.6,192,14
254.7,3.6,dur,4,287,21,175,2000,240,1.6,192,19
258.3,3.6,dur,4,291,33,275,2000,240,1.6,192,128
261.9,3.6,dur,4,295,21,175,2000,240,1.6,192,154
265.5,6.3,dur,7,302,240,2000,2000,240,4.3,516,71
271.8,3.6,dur,4,306,147,1225,2000,240,1.6,192,50
275.4,3.6,dur,4,310,12,100,2000,240,1.6,192,0
279.0,3.6,dur,4,314,6,50,2000,240,1.6,192,24
282.6,3.6,dur,4,318,12,100,2000,240,1.6,192,31
286.2,3.6,dur,4,322,90,750,2000,240,1.6,192,34
289.8,3.6,dur,4,326,147,1225,2000,240,1.6,192,53
293.4,7.2,dur,8,334,0,0,2000,240,5.2,624,69
300.6,3.6,dur,4,338,3,25,2000,240,1.6,192,56
304.2,4.5,dur,5,343,240,2000,2000,240,2.5,300,84
308.7,3.6,dur,4,347,57,475,2000,240,1.6,192,132
312.3,3.6,dur,4,351,57,475,2000,240,1.6,192,54
315.9,4.5,dur,5,356,0,0,2000,240,2.5,300,96
320.4,3.6,dur,4,360,33,275,2000,240,1.6,192,116
