subject,ses,run,seq
1,1,1,11
1,1,3,9
1,1,4,8
1,1,5,7
1,1,6,10
1,2,1,12
1,2,3,14
1,2,4,15
1,2,5,16
1,2,6,13
1,3,1,5
1,3,3,3
1,3,4,2
1,3,5,6
1,3,6,4
2,1,1,12
2,1,3,14
2,1,4,13
2,1,5,16
2,1,6,15
2,2,1,2
2,2,3,5
2,2,4,4
2,2,5,6
2,2,6,3
2,3,1,10
2,3,3,11
2,3,4,8
2,3,5,7
2,3,6,9
3,1,1,5
3,1,3,2
3,1,4,4
3,1,5,6
3,1,6,3
3,2,1,7
3,2,3,10
3,2,4,8
3,2,5,9
3,2,6,11
3,3,1,16
3,3,3,14
3,3,4,13
3,3,5,12
3,3,6,15
4,1,1,11
4,1,3,10
4,1,4,9
4,1,5,7
4,1,6,8
4,2,1,13
4,2,3,15
4,2,4,12
4,2,5,14
4,2,6,16
4,3,1,6
4,3,3,3
4,3,4,4
4,3,5,5
4,3,6,2
5,1,1,15
5,1,3,14
5,1,4,16
5,1,5,12
5,1,6,13
5,2,1,3
5,2,3,5
5,2,4,4
5,2,5,2
5,2,6,6
5,3,1,9
5,3,3,10
5,3,4,11
5,3,5,7
5,3,6,8
6,1,1,6
6,1,3,3
6,1,4,4
6,1,5,2
6,1,6,5
6,2,1,11
6,2,3,10
6,2,4,8
6,2,5,9
6,2,6,7
6,3,1,16
6,3,3,14
6,3,4,13
6,3,5,15
6,3,6,12
7,1,1,9
7,1,3,11
7,1,4,7
7,1,5,8
7,1,6,10
7,2,1,13
7,2,3,14
7,2,4,12
7,2,5,15
7,2,6,16
7,3,1,4
7,3,3,2
7,3,4,3
7,3,5,5
7,3,6,6
8,1,1,12
8,1,3,13
8,1,4,14
8,1,5,16
8,1,6,15
8,2,1,3
8,2,3,5
8,2,4,4
8,2,5,2
8,2,6,6
8,3,1,8
8,3,3,10
8,3,4,9
8,3,5,7
8,3,6,11
9,1,1,4
9,1,3,6
9,1,4,5
9,1,5,3
9,1,6,2
9,2,1,9
9,2,3,10
9,2,4,8
9,2,5,7
9,2,6,11
9,3,1,12
9,3,3,15
9,3,4,16
9,3,5,13
9,3,6,14
10,1,1,7
10,1,3,8
10,1,4,11
10,1,5,10
10,1,6,9
10,2,1,12
10,2,3,15
10,2,4,13
10,2,5,14
10,2,6,16
10,3,1,2
10,3,3,6
10,3,4,4
10,3,5,3
10,3,6,5
11,1,1,16
11,1,3,13
11,1,4,15
11,1,5,14
11,1,6,12
11,2,1,2
11,2,3,5
11,2,4,4
11,2,5,3
11,2,6,6
11,3,1,10
11,3,3,9
11,3,4,11
11,3,5,8
11,3,6,7
12,1,1,2
12,1,3,4
12,1,4,5
12,1,5,3
12,1,6,6
12,2,1,7
12,2,3,10
12,2,4,8
12,2,5,11
12,2,6,9
12,3,1,14
12,3,3,13
12,3,4,12
12,3,5,16
12,3,6,15
13,1,1,7
13,1,3,9
13,1,4,8
13,1,5,10
13,1,6,11
13,2,1,15
13,2,3,14
13,2,4,16
13,2,5,12
13,2,6,13
13,3,1,2
13,3,3,5
13,3,4,6
13,3,5,3
13,3,6,4
14,1,1,13
14,1,3,14
14,1,4,15
14,1,5,16
14,1,6,12
14,2,1,3
14,2,3,5
14,2,4,4
14,2,5,2
14,2,6,6
14,3,1,11
14,3,3,10
14,3,4,7
14,3,5,9
14,3,6,8
15,1,1,3
15,1,3,2
15,1,4,4
15,1,5,5
15,1,6,6
15,2,1,8
15,2,3,7
15,2,4,9
15,2,5,11
15,2,6,10
15,3,1,16
15,3,3,12
15,3,4,13
15,3,5,14
15,3,6,15
16,1,1,10
16,1,3,9
16,1,4,8
16,1,5,11
16,1,6,7
16,2,1,13
16,2,3,15
16,2,4,12
16,2,5,16
16,2,6,14
16,3,1,6
16,3,3,3
16,3,4,4
16,3,5,5
16,3,6,2
17,1,1,12
17,1,3,16
17,1,4,15
17,1,5,13
17,1,6,14
17,2,1,4
17,2,3,3
17,2,4,5
17,2,5,2
17,2,6,6
17,3,1,10
17,3,3,7
17,3,4,11
17,3,5,8
17,3,6,9
18,1,1,2
18,1,3,6
18,1,4,3
18,1,5,5
18,1,6,4
18,2,1,11
18,2,3,7
18,2,4,8
18,2,5,9
18,2,6,10
18,3,1,16
18,3,3,12
18,3,4,15
18,3,5,13
18,3,6,14
19,1,1,10
19,1,3,11
19,1,4,9
19,1,5,7
19,1,6,8
19,2,1,15
19,2,3,16
19,2,4,14
19,2,5,12
19,2,6,13
19,3,1,4
19,3,3,2
19,3,4,3
19,3,5,5
19,3,6,6
20,1,1,12
20,1,3,14
20,1,4,16
20,1,5,13
20,1,6,15
20,2,1,2
20,2,3,6
20,2,4,3
20,2,5,5
20,2,6,4
20,3,1,9
20,3,3,7
20,3,4,10
20,3,5,11
20,3,6,8
