subject,ses,run,seq
1,1,1,9
1,1,2,8
1,1,3,10
1,1,4,6
1,1,5,7
1,2,1,11
1,2,2,14
1,2,3,15
1,2,4,13
1,2,5,12
1,3,1,1
1,3,2,3
1,3,3,4
1,3,4,5
1,3,5,2
2,1,1,15
2,1,2,11
2,1,3,13
2,1,4,12
2,1,5,14
2,2,1,2
2,2,2,1
2,2,3,4
2,2,4,5
2,2,5,3
2,3,1,10
2,3,2,8
2,3,3,6
2,3,4,7
2,3,5,9
3,1,1,4
3,1,2,2
3,1,3,5
3,1,4,3
3,1,5,1
3,2,1,10
3,2,2,6
3,2,3,8
3,2,4,7
3,2,5,9
3,3,1,14
3,3,2,15
3,3,3,13
3,3,4,12
3,3,5,11
4,1,1,6
4,1,2,9
4,1,3,7
4,1,4,8
4,1,5,10
4,2,1,11
4,2,2,15
4,2,3,14
4,2,4,13
4,2,5,12
4,3,1,2
4,3,2,5
4,3,3,3
4,3,4,1
4,3,5,4
5,1,1,12
5,1,2,15
5,1,3,13
5,1,4,11
5,1,5,14
5,2,1,5
5,2,2,4
5,2,3,2
5,2,4,1
5,2,5,3
5,3,1,6
5,3,2,7
5,3,3,9
5,3,4,8
5,3,5,10
6,1,1,4
6,1,2,5
6,1,3,3
6,1,4,2
6,1,5,1
6,2,1,7
6,2,2,8
6,2,3,9
6,2,4,10
6,2,5,6
6,3,1,13
6,3,2,15
6,3,3,14
6,3,4,12
6,3,5,11
7,1,1,10
7,1,2,9
7,1,3,8
7,1,4,6
7,1,5,7
7,2,1,12
7,2,2,11
7,2,3,13
7,2,4,14
7,2,5,15
7,3,1,3
7,3,2,2
7,3,3,4
7,3,4,5
7,3,5,1
8,1,1,12
8,1,2,15
8,1,3,13
8,1,4,11
8,1,5,14
8,2,1,5
8,2,2,2
8,2,3,4
8,2,4,1
8,2,5,3
8,3,1,7
8,3,2,10
8,3,3,8
8,3,4,6
8,3,5,9
9,1,1,2
9,1,2,3
9,1,3,1
9,1,4,4
9,1,5,5
9,2,1,10
9,2,2,8
9,2,3,7
9,2,4,9
9,2,5,6
9,3,1,11
9,3,2,15
9,3,3,14
9,3,4,13
9,3,5,12
10,1,1,9
10,1,2,10
10,1,3,7
10,1,4,6
10,1,5,8
10,2,1,15
10,2,2,11
10,2,3,12
10,2,4,13
10,2,5,14
10,3,1,5
10,3,2,4
10,3,3,2
10,3,4,1
10,3,5,3
11,1,1,13
11,1,2,14
11,1,3,15
11,1,4,12
11,1,5,11
11,2,1,2
11,2,2,3
11,2,3,5
11,2,4,4
11,2,5,1
11,3,1,7
11,3,2,10
11,3,3,8
11,3,4,6
11,3,5,9
12,1,1,2
12,1,2,4
12,1,3,5
12,1,4,1
12,1,5,3
12,2,1,8
12,2,2,6
12,2,3,10
12,2,4,9
12,2,5,7
12,3,1,15
12,3,2,12
12,3,3,13
12,3,4,14
12,3,5,11
13,1,1,7
13,1,2,9
13,1,3,8
13,1,4,6
13,1,5,10
13,2,1,11
13,2,2,14
13,2,3,15
13,2,4,12
13,2,5,13
13,3,1,4
13,3,2,2
13,3,3,1
13,3,4,5
13,3,5,3
14,1,1,14
14,1,2,13
14,1,3,15
14,1,4,11
14,1,5,12
14,2,1,5
14,2,2,3
14,2,3,4
14,2,4,1
14,2,5,2
14,3,1,9
14,3,2,6
14,3,3,8
14,3,4,10
14,3,5,7
15,1,1,1
15,1,2,2
15,1,3,3
15,1,4,4
15,1,5,5
15,2,1,7
15,2,2,6
15,2,3,10
15,2,4,9
15,2,5,8
15,3,1,12
15,3,2,11
15,3,3,15
15,3,4,13
15,3,5,14
16,1,1,7
16,1,2,8
16,1,3,9
16,1,4,6
16,1,5,10
16,2,1,15
16,2,2,14
16,2,3,11
16,2,4,12
16,2,5,13
16,3,1,4
16,3,2,2
16,3,3,3
16,3,4,5
16,3,5,1
17,1,1,13
17,1,2,11
17,1,3,12
17,1,4,15
17,1,5,14
17,2,1,4
17,2,2,2
17,2,3,5
17,2,4,1
17,2,5,3
17,3,1,8
17,3,2,9
17,3,3,10
17,3,4,6
17,3,5,7
18,1,1,3
18,1,2,1
18,1,3,5
18,1,4,2
18,1,5,4
18,2,1,9
18,2,2,7
18,2,3,8
18,2,4,10
18,2,5,6
18,3,1,15
18,3,2,13
18,3,3,14
18,3,4,11
18,3,5,12
19,1,1,6
19,1,2,9
19,1,3,8
19,1,4,10
19,1,5,7
19,2,1,11
19,2,2,13
19,2,3,12
19,2,4,14
19,2,5,15
19,3,1,3
19,3,2,2
19,3,3,5
19,3,4,4
19,3,5,1
20,1,1,14
20,1,2,11
20,1,3,13
20,1,4,12
20,1,5,15
20,2,1,5
20,2,2,3
20,2,3,4
20,2,4,2
20,2,5,1
20,3,1,6
20,3,2,7
20,3,3,8
20,3,4,9
20,3,5,10
