subject,ses,run,seq
1,1,1,2
1,1,2,4
1,2,1,5
1,2,2,3
1,3,1,1
1,3,2,0
2,1,1,1
2,1,2,5
2,2,1,0
2,2,2,4
2,3,1,3
2,3,2,2
3,1,1,1
3,1,2,4
3,2,1,3
3,2,2,0
3,3,1,5
3,3,2,2
4,1,1,1
4,1,2,2
4,2,1,5
4,2,2,0
4,3,1,3
4,3,2,4
5,1,1,1
5,1,2,4
5,2,1,2
5,2,2,0
5,3,1,5
5,3,2,3
6,1,1,5
6,1,2,2
6,2,1,1
6,2,2,0
6,3,1,3
6,3,2,4
7,1,1,0
7,1,2,4
7,2,1,2
7,2,2,5
7,3,1,1
7,3,2,3
8,1,1,4
8,1,2,3
8,2,1,2
8,2,2,1
8,3,1,5
8,3,2,0
9,1,1,4
9,1,2,3
9,2,1,1
9,2,2,0
9,3,1,2
9,3,2,5
10,1,1,0
10,1,2,1
10,2,1,4
10,2,2,2
10,3,1,3
10,3,2,5
11,1,1,0
11,1,2,1
11,2,1,2
11,2,2,5
11,3,1,3
11,3,2,4
12,1,1,0
12,1,2,3
12,2,1,4
12,2,2,5
12,3,1,1
12,3,2,2
13,1,1,4
13,1,2,2
13,2,1,1
13,2,2,3
13,3,1,0
13,3,2,5
14,1,1,3
14,1,2,1
14,2,1,4
14,2,2,0
14,3,1,2
14,3,2,5
15,1,1,2
15,1,2,0
15,2,1,5
15,2,2,4
15,3,1,1
15,3,2,3
16,1,1,5
16,1,2,0
16,2,1,4
16,2,2,1
16,3,1,3
16,3,2,2
17,1,1,3
17,1,2,5
17,2,1,2
17,2,2,4
17,3,1,1
17,3,2,0
18,1,1,0
18,1,2,5
18,2,1,4
18,2,2,1
18,3,1,2
18,3,2,3
19,1,1,1
19,1,2,2
19,2,1,4
19,2,2,3
19,3,1,0
19,3,2,5
20,1,1,0
20,1,2,3
20,2,1,4
20,2,2,5
20,3,1,1
20,3,2,2
